FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
02/01/23,10,10,7,-99,23,-99,39,5,13,-99,10,35,60,-99,8,-99,10,-99,-99,7,18,4,-99,5,3,2,15,-99,-99,1,43,-99,7,8,48,-99
02/01/23,11,2,4,-99,11,-99,8,3,10,-99,6,16,14,-99,5,-99,5,-99,-99,4,7,2,-99,3,1,3,6,-99,-99,1,-99,-99,2,2,10,-99
02/01/23,12,1,4,-99,5,-99,3,2,12,-99,3,5,8,-99,6,-99,3,-99,-99,3,6,2,-99,-99,1,2,4,-99,-99,0,-99,-99,1,1,5,-99
02/01/23,13,1,4,-99,3,-99,2,2,9,-99,3,3,3,-99,3,-99,4,-99,-99,2,5,2,-99,-99,1,2,4,-99,-99,2,-99,-99,1,1,4,-99
02/01/23,14,2,5,-99,2,-99,2,1,8,-99,3,2,3,-99,4,-99,3,-99,-99,2,3,2,-99,-99,1,2,4,-99,-99,1,-99,-99,1,-99,5,-99
02/01/23,15,1,4,-99,1,-99,1,1,6,-99,3,2,3,-99,4,-99,2,-99,-99,1,2,2,-99,-99,1,3,4,-99,-99,1,3,-99,1,-99,3,-99
02/01/23,16,2,3,-99,2,-99,1,2,7,-99,4,2,3,-99,4,-99,3,-99,-99,2,3,1,-99,-99,1,3,4,-99,-99,1,4,-99,1,-99,3,-99
02/01/23,17,2,4,-99,2,-99,1,1,7,-99,3,2,4,-99,4,-99,4,-99,-99,2,3,5,-99,1,1,3,4,-99,-99,1,5,-99,1,-99,3,-99
02/01/23,18,1,2,-99,3,-99,2,1,7,-99,3,2,4,-99,3,-99,1,-99,-99,2,4,1,-99,2,0,2,4,-99,-99,1,4,-99,0,-99,4,-99
02/01/23,19,2,3,-99,3,-99,1,2,10,-99,2,2,8,-99,3,-99,2,-99,-99,2,4,1,-99,2,0,1,4,-99,-99,1,5,-99,0,0,3,-99
02/01/23,20,1,4,-99,2,-99,1,2,9,-99,3,1,30,-99,4,-99,4,-99,-99,5,6,1,-99,2,1,3,9,-99,-99,3,3,-99,0,1,3,-99
02/01/23,21,3,1,-99,4,-99,1,2,17,-99,2,5,16,-99,5,-99,5,-99,-99,7,8,1,-99,3,1,7,13,-99,-99,6,11,-99,3,3,6,-99
02/01/23,22,9,1,-99,8,-99,3,1,9,-99,5,8,12,-99,3,-99,10,-99,-99,10,14,7,-99,3,2,4,10,-99,-99,5,30,-99,11,3,6,-99
02/01/23,23,11,1,-99,3,-99,42,0,7,-99,2,3,8,-99,4,-99,15,-99,-99,18,12,3,-99,2,7,4,12,-99,-99,2,16,-99,18,7,10,-99
02/01/23,24,29,2,-99,1,-99,77,1,5,-99,1,1,5,-99,8,-99,4,-99,-99,24,60,1,-99,1,8,1,14,-99,-99,1,5,-99,3,9,45,-99
03/01/23,1,26,0,-99,1,-99,88,0,1,-99,1,1,2,-99,6,-99,2,-99,-99,17,32,0,-99,0,7,0,18,-99,-99,1,2,-99,1,1,40,-99
03/01/23,2,45,0,-99,1,-99,101,4,1,-99,0,1,4,-99,5,-99,0,-99,-99,7,74,0,-99,0,2,0,1,-99,-99,0,2,-99,1,0,15,-99
03/01/23,3,18,0,-99,1,-99,112,1,0,-99,0,2,2,-99,33,-99,3,-99,-99,4,35,0,-99,0,2,0,0,-99,-99,0,6,-99,0,0,21,-99
03/01/23,4,26,0,-99,1,-99,102,2,1,-99,0,2,0,-99,24,-99,6,-99,-99,16,35,0,-99,0,1,0,2,-99,-99,0,9,-99,0,0,23,-99
03/01/23,5,8,1,-99,1,-99,104,2,20,-99,0,1,1,-99,48,-99,17,-99,-99,33,29,1,-99,2,1,0,1,-99,-99,0,13,-99,5,0,24,-99
03/01/23,6,11,0,-99,12,-99,67,2,21,-99,3,3,4,-99,60,-99,52,-99,-99,121,52,2,-99,14,1,23,36,-99,-99,3,28,-99,56,6,36,-99
03/01/23,7,12,1,-99,47,-99,92,14,43,-99,6,26,30,-99,73,-99,68,-99,-99,82,50,5,-99,49,2,22,25,-99,-99,12,19,-99,25,14,41,-99
03/01/23,8,20,3,-99,16,-99,81,21,46,-99,23,59,101,-99,63,-99,82,-99,-99,123,171,7,-99,19,16,14,46,-99,-99,22,63,-99,23,26,72,-99
03/01/23,9,41,6,-99,49,-99,108,38,32,-99,12,87,187,-99,89,-99,108,-99,-99,101,115,16,-99,63,53,21,80,-99,-99,14,98,-99,30,27,79,-99
03/01/23,10,21,11,-99,24,-99,42,30,24,-99,9,47,55,-99,38,-99,41,-99,-99,49,14,4,-99,65,37,21,37,-99,-99,23,53,-99,9,12,43,-99
03/01/23,11,9,13,-99,18,-99,28,10,8,-99,5,17,34,-99,22,-99,20,-99,-99,22,20,3,-99,15,8,10,-99,-99,-99,7,30,-99,8,7,18,-99
03/01/23,12,4,6,-99,7,-99,11,8,5,-99,4,4,15,-99,10,-99,5,-99,-99,9,15,1,-99,8,-99,8,7,-99,-99,3,11,-99,2,4,5,-99
03/01/23,13,4,4,-99,3,-99,3,3,5,-99,3,5,3,-99,5,-99,1,-99,-99,9,4,1,-99,5,-99,3,2,-99,-99,2,7,-99,-99,3,4,-99
03/01/23,14,4,3,-99,2,-99,1,2,4,-99,3,4,3,-99,6,-99,0,-99,-99,9,3,1,-99,4,-99,2,2,-99,-99,1,5,-99,-99,3,4,-99
03/01/23,15,2,2,-99,1,-99,1,2,4,-99,3,2,1,-99,8,-99,0,-99,-99,7,2,1,-99,3,-99,1,1,-99,-99,1,4,-99,-99,2,2,-99
03/01/23,16,2,2,-99,2,-99,2,1,4,-99,2,2,2,-99,6,-99,0,-99,-99,9,2,1,-99,2,-99,1,0,-99,-99,1,3,-99,-99,2,3,-99
03/01/23,17,3,2,-99,2,-99,2,1,4,-99,3,2,1,-99,7,-99,1,-99,-99,10,2,1,-99,2,-99,1,1,-99,-99,1,4,-99,-99,2,2,-99
03/01/23,18,4,2,-99,2,-99,2,0,5,-99,3,3,1,-99,5,-99,0,-99,-99,18,3,1,-99,2,-99,1,1,-99,-99,1,6,-99,-99,2,3,-99
03/01/23,19,2,1,-99,2,-99,4,2,6,-99,3,4,1,-99,5,-99,0,-99,-99,22,3,1,-99,1,-99,0,3,-99,-99,0,10,-99,-99,4,4,-99
03/01/23,20,3,1,-99,2,-99,6,3,5,-99,2,3,8,-99,5,-99,2,-99,-99,38,4,1,-99,2,-99,1,6,-99,-99,2,7,-99,-99,4,12,-99
03/01/23,21,11,2,-99,2,-99,10,3,8,-99,4,6,44,-99,7,-99,1,-99,-99,33,5,1,-99,4,-99,1,11,-99,-99,4,23,-99,-99,6,12,-99
03/01/23,22,8,2,-99,42,-99,17,7,9,-99,3,4,43,-99,10,-99,35,-99,-99,40,14,2,-99,1,-99,2,18,-99,-99,33,16,-99,-99,12,22,-99
03/01/23,23,13,5,-99,24,-99,37,3,47,-99,2,21,61,-99,10,-99,35,-99,-99,60,59,4,-99,4,-99,1,34,-99,-99,16,18,-99,-99,9,19,-99
03/01/23,24,10,1,-99,4,-99,16,5,36,-99,2,17,52,-99,19,-99,17,-99,-99,58,-99,14,-99,-99,-99,1,31,-99,-99,15,48,-99,-99,9,77,-99
04/01/23,1,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,2,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,3,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,4,9,0,-99,8,-99,43,2,37,-99,3,1,2,-99,28,-99,12,-99,-99,39,35,12,-99,19,-99,40,13,-99,-99,-99,20,-99,-99,28,118,-99
