FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
02/01/23,17,46,-99,17,25,16,34,14,14,15,-99,30,-99,11,32,18,-99,12,-99,-99,-99,38,-99,53,-99,-99,-99,49,-99
02/01/23,18,52,-99,26,18,18,29,17,26,20,-99,36,-99,12,33,12,-99,26,25,-99,-99,44,-99,10,-99,-99,-99,35,-99
02/01/23,19,40,-99,32,19,-99,37,17,35,55,-99,31,-99,12,33,20,-99,19,33,-99,-99,33,-99,39,-99,-99,-99,37,-99
02/01/23,20,40,-99,30,18,29,36,20,44,54,-99,34,-99,10,34,28,-99,14,30,-99,-99,31,-99,48,-99,-99,28,28,-99
02/01/23,21,36,-99,21,17,14,44,16,45,8,-99,23,-99,11,23,21,-99,11,24,-99,-99,30,-99,37,-99,-99,17,34,-99
02/01/23,22,48,-99,19,18,20,40,18,20,20,-99,24,-99,11,26,29,-99,20,23,-99,-99,33,-99,38,-99,-99,29,29,-99
02/01/23,23,55,-99,6,16,31,36,15,24,24,-99,34,-99,9,23,37,-99,19,22,-99,-99,36,-99,27,-99,-99,33,29,-99
02/01/23,24,81,-99,12,15,42,29,13,6,16,-99,30,-99,12,15,17,-99,14,13,-99,-99,36,-99,15,-99,-99,20,41,-99
03/01/23,1,59,-99,12,20,49,32,12,19,17,-99,29,-99,6,17,17,-99,12,16,-99,-99,32,-99,19,18,-99,15,37,-99
03/01/23,2,55,-99,9,19,64,27,17,18,17,-99,18,-99,10,16,18,-99,14,23,-99,-99,18,-99,10,18,-99,14,18,-99
03/01/23,3,44,-99,5,18,60,21,11,19,14,-99,23,-99,8,21,12,-99,14,11,-99,-99,17,-99,11,19,-99,21,18,-99
03/01/23,4,36,-99,-99,18,58,22,10,10,11,-99,15,-99,6,24,15,-99,11,14,-99,-99,15,-99,14,20,-99,15,31,-99
03/01/23,5,35,-99,5,22,47,23,9,9,-99,-99,27,-99,4,26,22,-99,13,13,-99,-99,16,-99,13,28,-99,16,39,-99
03/01/23,6,21,-99,7,27,35,25,5,12,-99,-99,33,-99,5,33,32,-99,9,18,-99,-99,18,-99,18,56,-99,12,19,-99
03/01/23,7,21,-99,20,24,29,26,13,35,25,-99,25,-99,3,27,25,-99,9,31,-99,-99,15,-99,21,31,-99,18,36,-99
03/01/23,8,31,-99,17,23,30,32,14,37,35,-99,37,-99,5,44,25,-99,-99,26,-99,-99,40,-99,12,42,-99,25,64,-99
03/01/23,9,41,-99,32,25,41,39,7,57,58,-99,45,-99,7,63,34,-99,-99,40,-99,-99,62,-99,76,57,-99,33,106,-99
03/01/23,10,42,-99,5,23,32,39,7,17,20,-99,45,-99,4,19,33,-99,-99,35,-99,-99,34,-99,31,52,-99,32,64,-99
03/01/23,11,40,-99,16,26,31,31,6,-99,9,-99,25,-99,7,16,22,-99,3,27,-99,-99,-99,-99,1,42,-99,18,8,-99
03/01/23,12,23,-99,7,12,22,28,5,3,8,-99,30,-99,6,4,-99,-99,23,25,-99,-99,25,-99,-99,19,-99,9,9,-99
03/01/23,13,23,-99,69,13,26,29,7,12,3,-99,22,-99,6,-99,8,-99,22,21,-99,-99,12,-99,14,19,-99,14,15,-99
03/01/23,14,22,-99,97,14,-99,56,3,12,6,-99,19,-99,8,7,12,-99,22,23,-99,-99,13,-99,50,20,-99,17,16,-99
03/01/23,15,22,-99,84,12,-99,63,9,1,23,-99,13,-99,10,15,22,-99,42,28,-99,-99,24,-99,55,22,-99,24,5,-99
03/01/23,16,29,-99,43,18,-99,55,17,36,30,-99,30,-99,17,28,16,-99,29,54,-99,-99,39,-99,53,23,-99,37,28,-99
03/01/23,17,34,-99,14,21,-99,41,15,11,27,-99,28,-99,21,37,17,-99,28,41,-99,-99,44,-99,63,25,-99,30,27,-99
03/01/23,18,48,-99,28,17,-99,43,26,23,16,-99,26,-99,15,36,50,-99,35,48,-99,-99,42,-99,80,27,-99,34,30,-99
03/01/23,19,69,-99,26,20,-99,48,23,39,19,-99,-99,-99,13,16,25,-99,32,51,-99,-99,58,-99,63,25,-99,37,45,-99
03/01/23,20,60,-99,23,12,-99,41,19,53,35,-99,14,-99,10,23,21,-99,28,54,-99,-99,49,-99,53,19,-99,31,74,-99
03/01/23,21,59,-99,24,21,-99,48,12,29,35,-99,15,-99,9,19,18,-99,22,44,-99,-99,46,-99,70,25,-99,18,64,-99
03/01/23,22,56,-99,72,28,-99,42,13,20,35,-99,28,-99,4,44,22,-99,26,35,-99,-99,51,-99,96,29,-99,40,119,-99
03/01/23,23,66,-99,43,35,-99,53,15,60,39,-99,34,-99,7,62,30,-99,26,36,-99,-99,65,-99,73,24,-99,37,77,-99
03/01/23,24,81,-99,20,28,-99,60,15,43,29,-99,30,-99,8,56,32,-99,29,45,-99,-99,54,-99,44,40,-99,45,92,-99
04/01/23,1,73,-99,12,26,-99,40,16,12,12,-99,36,-99,8,50,21,-99,27,59,-99,-99,58,-99,39,27,-99,36,74,-99
04/01/23,2,67,-99,13,21,-99,48,11,15,11,-99,38,-99,5,46,29,-99,23,49,-99,-99,56,-99,30,29,-99,35,67,-99
