FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
02/01/23,23,-99,-99,9,16,12,-99,22,15,-99,5,26,-99,14,14,10,-99,12,15,-99,-99,-99,17,16,-99
02/01/23,24,-99,-99,8,27,10,-99,12,14,-99,9,8,-99,13,10,8,-99,15,16,-99,-99,-99,11,7,-99
03/01/23,1,-99,-99,12,30,14,-99,12,14,-99,4,10,-99,8,7,12,-99,14,14,-99,-99,11,7,9,-99
03/01/23,2,-99,-99,13,44,11,-99,13,5,-99,7,12,-99,9,11,11,-99,14,10,-99,-99,12,11,5,-99
03/01/23,3,-99,-99,11,22,9,-99,14,13,-99,5,5,-99,10,9,9,-99,10,10,-99,-99,12,3,14,-99
03/01/23,4,-99,-99,12,26,11,-99,6,7,-99,4,8,-99,10,7,8,-99,4,9,-99,-99,11,7,10,-99
03/01/23,5,-99,-99,15,22,10,-99,11,14,-99,1,13,-99,8,9,10,-99,9,9,-99,-99,16,6,10,-99
03/01/23,6,-99,-99,16,19,9,-99,14,17,-99,3,17,-99,8,4,7,-99,13,6,-99,-99,18,16,5,-99
03/01/23,7,-99,-99,13,15,6,-99,8,10,-99,1,11,-99,8,5,6,-99,14,3,-99,-99,14,8,6,-99
03/01/23,8,-99,-99,10,16,10,-99,11,17,-99,4,13,-99,3,-99,8,-99,7,11,-99,-99,16,16,7,-99
03/01/23,9,-99,-99,12,16,9,-99,10,17,-99,4,17,-99,2,-99,15,-99,16,21,-99,-99,19,9,14,-99
03/01/23,10,-99,-99,11,12,7,-99,3,22,-99,3,21,-99,1,-99,13,-99,15,11,-99,-99,21,-99,12,-99
03/01/23,11,-99,-99,13,13,6,-99,6,8,-99,3,14,-99,5,1,7,-99,15,-99,-99,-99,18,-99,6,-99
03/01/23,12,-99,-99,5,8,6,-99,3,12,-99,3,-99,-99,5,5,5,-99,32,11,-99,-99,6,-99,3,-99
03/01/23,13,-99,-99,5,15,7,-99,1,7,-99,2,3,-99,8,8,4,-99,32,2,-99,-99,7,-99,2,-99
03/01/23,14,-99,-99,7,-99,-99,-99,-99,10,-99,4,6,-99,7,8,4,-99,9,4,-99,-99,11,-99,6,-99
03/01/23,15,-99,-99,5,-99,3,-99,-99,2,-99,2,19,-99,15,10,7,-99,-99,7,-99,-99,11,-99,8,-99
03/01/23,16,-99,-99,6,-99,6,-99,7,14,-99,6,4,-99,23,14,8,-99,17,19,-99,-99,10,-99,12,-99
03/01/23,17,-99,-99,5,-99,6,-99,6,10,-99,9,5,-99,14,16,7,-99,22,9,-99,-99,12,19,8,-99
03/01/23,18,-99,-99,3,-99,9,-99,14,9,-99,6,39,-99,17,22,10,-99,14,15,-99,-99,14,14,10,-99
03/01/23,19,-99,-99,9,-99,14,-99,22,-99,-99,6,15,-99,23,13,13,-99,14,13,-99,-99,11,20,12,-99
03/01/23,20,-99,-99,2,-99,9,-99,19,1,-99,5,10,-99,24,15,15,-99,28,19,-99,-99,5,12,13,-99
03/01/23,21,-99,-99,5,-99,9,-99,18,1,-99,5,8,-99,18,13,16,-99,22,20,-99,-99,12,18,7,-99
03/01/23,22,-99,-99,13,-99,11,-99,20,5,-99,2,12,-99,20,15,17,-99,31,20,-99,-99,10,38,18,-99
03/01/23,23,-99,-99,17,-99,11,-99,18,9,-99,4,12,-99,23,16,17,-99,21,33,-99,-99,9,31,17,-99
03/01/23,24,-99,-99,13,-99,13,-99,22,9,-99,5,14,-99,13,17,24,-99,17,20,-99,-99,15,34,22,-99
04/01/23,1,-99,-99,13,-99,15,-99,28,13,-99,6,11,-99,24,15,28,-99,21,28,-99,-99,12,29,13,-99
04/01/23,2,-99,-99,12,-99,9,-99,25,11,-99,3,16,-99,19,12,24,-99,29,26,-99,-99,17,20,17,-99
