FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
02/01/23,11,3,7,-99,19,7,16,6,7,-99,8,23,17,5,8,8,-99,9,-99,-99,8,10,4,1,6,4,5,11,-99,-99,3,-99,-99,3,3,12,-99
02/01/23,12,2,5,-99,11,8,7,5,6,-99,5,11,10,4,6,8,-99,8,-99,-99,6,8,4,2,-99,3,4,9,-99,-99,2,-99,-99,3,2,8,-99
02/01/23,13,3,6,-99,5,7,7,5,7,-99,4,5,5,4,5,6,-99,8,-99,-99,5,8,4,2,-99,4,4,9,-99,-99,3,-99,-99,3,2,7,-99
02/01/23,14,3,7,-99,6,7,7,5,6,-99,4,3,5,4,7,8,-99,9,-99,-99,6,5,4,1,-99,3,4,11,-99,-99,2,-99,-99,3,-99,10,-99
02/01/23,15,3,8,-99,5,-99,4,5,7,-99,4,4,6,5,8,10,-99,9,-99,-99,7,5,5,-99,-99,3,5,13,-99,-99,2,8,-99,3,-99,8,-99
02/01/23,16,4,7,-99,6,9,4,6,6,-99,5,4,7,5,10,11,-99,10,-99,-99,9,6,4,2,-99,4,6,13,-99,-99,3,9,-99,4,-99,6,-99
02/01/23,17,5,7,-99,7,8,4,6,9,-99,5,5,8,8,11,12,-99,13,-99,-99,10,6,12,2,7,4,7,14,-99,-99,4,12,-99,4,-99,10,-99
02/01/23,18,6,8,-99,12,9,9,8,12,-99,7,7,9,9,13,13,-99,11,-99,-99,11,13,7,2,10,5,7,17,-99,-99,5,13,-99,6,-99,16,-99
02/01/23,19,10,10,-99,15,11,15,15,17,-99,13,12,16,14,17,17,-99,16,-99,-99,14,20,10,2,17,8,7,23,-99,-99,8,20,-99,14,12,19,-99
02/01/23,20,12,11,-99,12,17,15,18,21,-99,18,14,34,19,28,22,-99,24,-99,-99,25,27,15,2,21,9,11,30,-99,-99,17,26,-99,14,21,20,-99
02/01/23,21,19,7,-99,16,20,19,16,25,-99,14,27,22,23,27,22,-99,18,-99,-99,24,30,17,2,23,14,18,31,-99,-99,18,37,-99,22,23,28,-99
02/01/23,22,28,5,-99,24,21,27,13,18,-99,16,31,23,28,34,17,-99,27,-99,-99,26,30,25,4,26,19,15,32,-99,-99,18,34,-99,30,27,28,-99
02/01/23,23,26,10,-99,15,23,34,12,16,-99,10,21,22,31,38,21,-99,30,-99,-99,31,26,20,3,16,26,13,33,-99,-99,15,28,-99,30,29,31,-99
02/01/23,24,30,7,-99,11,28,33,18,17,-99,6,9,14,28,34,30,-99,22,-99,-99,29,29,20,2,15,25,6,30,-99,-99,7,22,-99,16,25,33,-99
03/01/23,1,26,4,-99,6,26,34,13,12,-99,6,9,12,26,32,26,-99,15,-99,-99,28,27,9,2,10,23,4,27,-99,-99,9,19,-99,10,10,29,-99
03/01/23,2,25,4,-99,3,27,34,22,8,-99,4,11,14,9,30,27,-99,10,-99,-99,21,29,7,2,11,17,4,19,-99,-99,4,16,-99,7,5,27,-99
03/01/23,3,23,3,-99,4,26,34,18,6,-99,3,23,14,10,22,29,-99,20,-99,-99,19,25,6,2,9,17,3,14,-99,-99,3,20,-99,3,5,28,-99
