FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
03/01/23,20,1,1,0,1,0,2,1,1,1,1,1,0,1,1,-99,1,2,0,1,1,1,-99,-99,1,-99,-99,1,1,-99,-99,1,1,-99
03/01/23,21,1,1,0,1,2,1,1,1,1,2,1,1,0,1,-99,2,2,0,1,1,1,-99,-99,1,-99,-99,1,1,-99,-99,1,1,-99
03/01/23,22,1,1,2,1,1,1,1,1,1,2,1,1,0,2,-99,2,2,1,1,1,1,-99,-99,1,-99,-99,1,1,-99,-99,1,2,-99
03/01/23,23,1,1,1,1,1,1,2,1,1,2,1,1,0,2,-99,2,2,2,1,1,1,-99,-99,1,-99,-99,1,1,-99,-99,1,2,-99
03/01/23,24,1,1,0,2,0,1,1,1,1,2,2,1,0,2,-99,2,2,-99,1,1,-99,-99,-99,1,-99,-99,1,2,-99,-99,1,3,-99
04/01/23,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,4,0,1,1,2,1,1,1,0,1,1,1,1,0,1,-99,2,2,3,1,1,1,-99,-99,1,-99,-99,-99,1,-99,-99,2,3,-99
04/01/23,5,0,1,0,1,0,1,1,0,1,1,1,1,0,1,-99,2,2,3,1,1,1,-99,-99,1,-99,-99,-99,1,-99,-99,1,3,-99
04/01/23,6,0,2,0,1,0,0,1,1,1,1,1,1,0,2,-99,2,3,4,2,1,1,-99,-99,2,-99,-99,-99,1,-99,-99,1,2,-99
04/01/23,7,1,1,1,3,1,0,2,1,1,2,1,2,0,3,-99,2,4,3,4,1,2,-99,-99,2,-99,-99,-99,2,-99,-99,2,4,-99
04/01/23,8,1,1,2,3,2,1,2,2,1,2,1,3,0,5,-99,3,5,5,5,1,3,-99,-99,2,-99,-99,-99,3,-99,-99,2,4,-99
04/01/23,9,1,2,3,5,1,1,4,2,2,4,2,4,1,4,-99,4,7,5,4,1,4,-99,-99,3,-99,-99,-99,6,-99,-99,5,5,-99
04/01/23,10,2,2,4,3,2,1,3,2,5,3,2,3,1,4,-99,6,5,4,2,2,3,-99,-99,4,-99,-99,1,4,-99,-99,3,4,-99
04/01/23,11,4,2,2,3,2,1,2,1,8,4,3,2,1,3,-99,3,4,2,2,1,2,-99,-99,3,-99,-99,1,5,-99,-99,2,4,-99
04/01/23,12,12,1,4,3,2,1,3,1,7,3,3,2,1,3,-99,3,3,3,9,1,4,-99,-99,7,-99,-99,2,10,-99,-99,3,17,-99
04/01/23,13,7,2,4,3,2,1,4,1,8,5,6,3,1,3,-99,4,3,3,7,2,4,-99,-99,8,-99,-99,2,7,-99,3,3,12,-99
04/01/23,14,4,2,4,3,2,1,4,2,7,5,5,3,1,3,-99,4,3,2,5,2,3,-99,-99,4,-99,-99,2,7,-99,2,2,9,-99
04/01/23,15,3,2,4,3,2,1,3,1,6,3,4,2,1,3,-99,3,3,2,4,2,3,-99,-99,3,-99,-99,2,6,-99,2,2,7,-99
04/01/23,16,3,2,4,2,1,1,3,1,4,2,3,2,1,2,-99,2,2,2,3,2,2,-99,-99,3,-99,-99,2,6,-99,1,1,5,-99
04/01/23,17,3,2,4,2,2,1,2,1,3,5,2,2,1,2,-99,3,2,2,3,2,2,-99,-99,2,-99,-99,2,7,-99,1,1,3,-99
04/01/23,18,2,1,3,2,3,1,2,3,3,4,2,3,1,2,-99,3,3,4,3,2,2,-99,-99,3,-99,-99,2,4,-99,1,1,4,-99
04/01/23,19,1,1,6,4,3,1,3,3,6,4,2,3,1,3,-99,2,4,4,2,1,2,-99,-99,2,-99,-99,1,6,-99,1,1,3,-99
