FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,2,CAM,1.66,55.0,35.0,90.0,1.0,77.0,61.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,CCA,0.56,2.0,17.0,19.0,6.0,45.0,41.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,CHO,0.34,7.0,15.0,22.5,26.0,52.0,23.0,16.0,1.0,54.0,17.15,146.0,1.15
2023-01-01,2,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,CUA,0.41,2.0,10.0,12.0,26.0,71.0,23.0,16.0,2.0,67.0,10.6,265.0,2.4
2023-01-01,2,CUT,1.21,15.0,27.0,42.0,3.0,163.0,23.0,16.0,2.0,73.0,7.9,223.0,1.4
2023-01-01,2,FAC,0.98,16.0,27.0,43.0,1.0,89.0,23.0,16.0,1.0,78.0,7.2,235.0,1.0
2023-01-01,2,FAR,1.49,3.0,32.0,24.0,1.0,45.0,114.0,16.0,3.0,69.0,13.5,59.0,1.1
2023-01-01,2,GAM,0.355,3.0,35.0,24.0,2.0,119.0,88.0,31.0,1.0,69.0,13.0,37.0,0.0
2023-01-01,2,HGM,1.11,21.0,35.0,56.0,3.0,52.5,23.0,29.0,2.0,61.0,12.4,39.0,0.7
2023-01-01,2,INN,0.16,3.0,19.0,24.0,17.0,8.0,6.0,2.0,0.0,87.0,3.2,66.0,0.2
2023-01-01,2,IZT,1.04,17.0,34.0,51.0,2.0,120.0,23.0,16.0,3.0,51.0,17.4,163.0,1.8
2023-01-01,2,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,74.0,11.6,277.0,0.2
2023-01-01,2,LLA,0.355,3.0,19.0,24.0,2.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,LPR,1.06,3.0,19.0,24.0,3.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,2,MER,1.39,45.0,34.0,79.0,1.0,86.0,72.0,14.0,3.0,67.0,12.8,208.0,1.1
2023-01-01,2,MGH,1.0,13.0,32.0,45.0,4.0,45.0,23.0,16.0,1.0,35.5,19.9,205.0,1.9
2023-01-01,2,MON,0.84,12.0,19.0,31.0,10.0,45.0,90.0,16.0,1.0,63.0,11.7,49.0,1.1
2023-01-01,2,MPA,0.18,3.0,3.0,24.0,30.0,20.0,15.0,5.0,1.0,73.0,15.5,165.0,2.0
2023-01-01,2,NEZ,1.24,27.0,34.0,61.0,2.0,184.0,165.0,16.0,7.0,60.0,13.1,205.0,0.9
2023-01-01,2,PED,0.34,1.0,13.0,14.0,13.0,37.0,22.0,15.5,1.0,58.0,10.8,212.0,2.1
2023-01-01,2,SAC,0.68,8.0,19.0,28.0,17.0,45.0,94.0,16.0,1.0,68.0,16.6,153.0,1.7
2023-01-01,2,SAG,1.45,64.0,31.0,95.0,1.0,158.0,124.0,34.0,3.0,79.0,12.7,92.0,0.1
2023-01-01,2,SFE,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,SJA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,2,TAH,1.17,14.0,24.0,39.0,4.0,169.0,23.0,16.0,2.0,67.0,8.9,288.0,1.3
2023-01-01,2,TLA,0.74,17.0,26.0,44.0,1.0,61.0,48.0,13.0,1.0,62.0,11.1,318.0,1.3
2023-01-01,2,TLI,0.4,4.0,22.0,30.0,34.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,2,UAX,0.27,6.0,26.0,32.0,3.0,45.0,76.0,16.0,1.0,73.0,9.6,184.0,0.8
2023-01-01,2,UIZ,0.87,10.0,29.0,40.0,4.0,110.0,94.0,16.0,2.0,75.0,12.1,196.0,0.8
2023-01-01,2,VIF,2.93,114.0,32.0,145.0,8.0,370.0,23.0,16.0,8.0,72.0,8.5,312.0,0.0
2023-01-01,2,XAL,0.48,7.0,29.0,42.0,24.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,3,ACO,0.92,22.0,19.0,41.0,3.0,219.0,23.0,16.0,1.0,88.0,7.5,325.0,1.3
2023-01-01,3,AJM,0.42,0.0,7.0,8.0,31.0,29.0,19.0,9.0,1.0,65.0,7.1,209.0,2.6
2023-01-01,3,AJU,0.355,3.0,19.0,24.0,14.0,45.0,23.0,16.0,1.0,100.0,2.5,2.0,1.6
2023-01-01,3,ATI,0.8,7.0,24.0,31.0,3.0,51.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,BJU,1.41,3.0,25.0,24.0,1.0,84.0,77.0,8.0,1.0,68.0,11.2,193.0,0.8
2023-01-01,3,CAM,1.56,50.0,30.0,80.0,2.0,124.0,107.0,17.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,3,CCA,0.48,2.0,18.0,19.0,4.0,45.0,47.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,CHO,0.34,7.0,15.0,22.5,26.0,52.0,23.0,16.0,1.0,73.0,7.8,155.0,0.9
2023-01-01,3,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,3,CUA,0.41,2.0,10.0,12.0,25.0,52.0,23.0,16.0,2.0,69.0,10.3,261.0,2.8
2023-01-01,3,CUT,1.01,8.0,24.0,32.0,4.0,145.0,23.0,16.0,2.0,74.0,7.2,236.0,1.7
2023-01-01,3,FAC,0.8,12.0,23.0,36.0,2.0,78.0,23.0,16.0,1.0,81.0,6.3,231.0,1.1
2023-01-01,3,FAR,1.31,3.0,29.0,24.0,2.0,45.0,131.0,16.0,2.0,74.0,12.2,111.0,1.1
2023-01-01,3,GAM,0.355,3.0,29.0,24.0,2.0,213.0,162.0,51.0,1.0,73.0,12.4,100.0,0.1
2023-01-01,3,HGM,1.49,50.0,32.0,82.0,3.0,52.5,23.0,29.0,2.0,62.0,12.1,44.0,1.3
2023-01-01,3,INN,0.13,3.0,19.0,24.0,17.0,7.0,4.0,2.0,0.0,88.0,3.2,86.0,0.5
